product_id,product_bk,product_name,category,sku,description
1,42,Camisa Manga Larga Denim-Azul Oscuro-M,Camisas Formales,CMLDMAO01,
2,43,Camisa Manga Larga Denim-Azul Oscuro-L,Camisas Formales,CMLDLAO01,
3,44,Camisa Manga Larga Denim,Camisas Formales,CMLD01,
4,45,Camisa Manga Larga Formal-Blanco-M,Camisas Formales,CMLFMB01,
5,46,Camisa Manga Larga Formal-Blanco-L,Camisas Formales,CMLFLB01,
6,47,Camisa Manga Larga Formal-Blanco-XL,Camisas Formales,CMLFXLB01,
7,48,Camisa Manga Larga Formal-Negro-M,Camisas Formales,CMLFMN01,
8,49,Camisa Manga Larga Formal-Negro-L,Camisas Formales,CMLFLN01,
9,50,Camisa Manga Larga Formal-Negro-XL,Camisas Formales,CMLFXLN01,
10,51,Camisa Manga Larga Formal,Camisas Formales,CMLF01,
11,66,Camisa Manga Corta Slim Fit-Azul Oscuro-L,Camisas Basicas,CMCSF01LAO01,
12,67,Camisa Manga Corta Slim Fit-Azul Oscuro-XL,Camisas Basicas,CMCSF01XLAO01,
13,68,Camisa Manga Corta Slim Fit,Camisas Basicas,CMCSF01,
14,61,Camisa Tipo Polo Casual-Rojo-L,Camisa Tipo Polo,CTPCLR01,
15,62,Camisa Tipo Polo Casual-Rojo-XL,Camisa Tipo Polo,CTPCXLR01,
16,63,Camisa Tipo Polo Casual-Azul Marino-L,Camisa Tipo Polo,CTPCLAZ01,
17,64,Camisa Tipo Polo Casual-Azul Marino-XL,Camisa Tipo Polo,CTPCXLAZ01,
18,65,Camisa Tipo Polo Casual,Camisa Tipo Polo,CTPC01,
