product_id,product_bk,lote_id,lote_production_date,lote_quantity,unit_cost,sku,product_name,category,lote_cost,unit_price
1,188,LTCMLDMAO01D,2024-10-26,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
2,190,LTCMLDLAO01D,2024-10-26,50,17.96,CMLDLAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
3,188,LTCMLDMAO01G,2024-10-26,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
4,190,LTCMLDLAO01G,2024-10-26,50,17.96,CMLDLAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
5,25,LTCMLFMB01D,2024-10-26,50,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
6,25,LTCMLFMB01G,2024-10-26,50,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
7,30,LTCMLFLN01D,2024-10-26,50,11.96,CMLFLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
8,30,LTCMLFLN01G,2024-10-26,50,11.96,CMLFLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
9,33,LTCMLFXLN01D,2024-10-26,50,11.96,CMLFXLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
10,33,LTCMLFXLN01G,2024-10-26,50,11.96,CMLFXLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
11,46,LTCTPCLR01D,2024-10-26,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
12,50,LTCTPCXLAZ01D,2024-10-26,100,9.71,CTPCXLAZ01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
13,50,LTCTPCXLAZ01G,2024-10-26,100,9.71,CTPCXLAZ01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
14,46,LTCTPCLR01G,2024-10-26,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
15,144,LTCMCSF01LAO01D,2024-10-26,200,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
16,144,LTCMCSF01LAO01G,2024-10-26,200,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
17,147,LTCMCSF01XLAO01D,2024-10-26,200,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
18,147,LTCMCSF01XLAO01G,2024-10-26,200,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
19,147,LTCMCSF01XLAO01G2,2024-10-27,100,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,1226.00,22.59
20,188,LTCMLDMAO01G2,2024-10-27,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
21,46,LTCTPCLR01G2,2024-10-27,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
22,49,LTCTPCXLR01G,2024-10-27,100,9.71,CTPCXLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
