movement_id,workcenter_id,product_id,time_id,production_order_name,quantity,production_minutes_time,unit_production_time,parallel_capacity
1,1,5,20241026,AL-10/MO/00039,50.00,11.83,.24,25
2,2,1,20241026,AL-10/MO/00035,50.00,31.07,.62,25
3,2,3,20241026,AL-10/MO/00037,50.00,41.03,.82,25
4,2,4,20241026,AL-10/MO/00038,50.00,41.46,.83,25
5,3,3,20241026,AL-10/MO/00037,50.00,57.14,1.13,25
6,1,13,20241026,AL-10/MO/00047,100.00,19.82,.20,25
7,3,1,20241026,AL-10/MO/00035,50.00,26.00,.52,25
8,2,5,20241026,AL-10/MO/00039,50.00,12.60,.25,25
9,1,1,20241026,AL-10/MO/00035,50.00,18.28,.37,25
10,1,9,20241026,AL-10/MO/00043,50.00,7.37,.15,25
11,2,2,20241026,AL-10/MO/00036,50.00,41.00,.82,25
12,1,4,20241026,AL-10/MO/00038,50.00,8.41,.17,25
13,1,3,20241026,AL-10/MO/00037,50.00,10.85,.22,25
14,3,4,20241026,AL-10/MO/00038,50.00,57.20,1.13,25
15,2,13,20241026,AL-10/MO/00047,100.00,11.52,.12,25
16,3,6,20241026,AL-10/MO/00040,50.00,6.14,.12,25
17,2,15,20241026,AL-10/MO/00049,200.00,14.47,.07,25
18,3,8,20241026,AL-10/MO/00042,50.00,20.85,.42,25
19,1,16,20241026,AL-10/MO/00050,200.00,13.82,.07,25
20,2,16,20241026,AL-10/MO/00050,200.00,13.73,.07,25
21,3,5,20241026,AL-10/MO/00039,50.00,7.82,.16,25
22,1,15,20241026,AL-10/MO/00049,200.00,14.47,.07,25
23,3,15,20241026,AL-10/MO/00049,200.00,3.62,.02,25
24,1,2,20241026,AL-10/MO/00036,50.00,16.56,.33,25
25,3,2,20241026,AL-10/MO/00036,50.00,56.28,1.12,25
26,1,20,20241027,AL-10/MO/00058,50.00,20.89,.42,25
27,3,11,20241026,AL-10/MO/00045,100.00,37.45,.37,25
28,1,22,20241027,AL-10/MO/00061,100.00,13.98,.14,25
29,1,11,20241026,AL-10/MO/00045,100.00,22.50,.23,25
30,2,11,20241026,AL-10/MO/00045,100.00,11.52,.12,25
31,1,7,20241026,AL-10/MO/00041,50.00,8.90,.18,25
32,3,13,20241026,AL-10/MO/00047,100.00,38.35,.38,25
33,1,6,20241026,AL-10/MO/00040,50.00,18.93,.38,25
34,2,6,20241026,AL-10/MO/00040,50.00,3.29,.07,25
35,2,7,20241026,AL-10/MO/00041,50.00,2.98,.06,25
36,3,7,20241026,AL-10/MO/00041,50.00,6.34,.13,25
37,2,10,20241026,AL-10/MO/00044,50.00,7.12,.14,25
38,1,10,20241026,AL-10/MO/00044,50.00,18.32,.37,25
39,2,9,20241026,AL-10/MO/00043,50.00,21.96,.44,25
40,3,10,20241026,AL-10/MO/00044,50.00,6.66,.13,25
41,2,8,20241026,AL-10/MO/00042,50.00,10.33,.21,25
42,1,8,20241026,AL-10/MO/00042,50.00,9.91,.20,25
43,3,9,20241026,AL-10/MO/00043,50.00,6.70,.13,25
44,1,12,20241026,AL-10/MO/00048,100.00,18.75,.19,25
45,2,12,20241026,AL-10/MO/00048,100.00,11.17,.11,25
46,3,12,20241026,AL-10/MO/00048,100.00,39.75,.40,25
47,1,14,20241026,AL-10/MO/00046,100.00,60.13,.60,25
48,2,14,20241026,AL-10/MO/00046,100.00,49.82,.50,25
49,3,14,20241026,AL-10/MO/00046,100.00,28.02,.28,25
50,1,21,20241027,AL-10/MO/00059,100.00,9.94,.10,25
51,2,21,20241027,AL-10/MO/00059,100.00,22.10,.22,25
52,3,21,20241027,AL-10/MO/00059,100.00,34.82,.35,25
53,2,22,20241027,AL-10/MO/00061,100.00,12.05,.12,25
54,3,22,20241027,AL-10/MO/00061,100.00,35.17,.35,25
55,1,19,20241027,AL-10/MO/00060,100.00,52.28,.52,25
56,1,17,20241026,AL-10/MO/00051,200.00,12.47,.06,25
57,2,17,20241026,AL-10/MO/00051,200.00,12.52,.06,25
58,3,17,20241026,AL-10/MO/00051,200.00,1.80,.01,25
59,1,18,20241026,AL-10/MO/00052,200.00,12.58,.06,25
60,2,18,20241026,AL-10/MO/00052,200.00,13.75,.07,25
61,3,16,20241026,AL-10/MO/00050,200.00,3.27,.02,25
62,2,19,20241027,AL-10/MO/00060,100.00,47.20,.47,25
63,3,19,20241027,AL-10/MO/00060,100.00,13.22,.13,25
64,3,18,20241026,AL-10/MO/00052,200.00,.78,.00,25
65,2,20,20241027,AL-10/MO/00058,50.00,19.42,.39,25
66,3,20,20241027,AL-10/MO/00058,50.00,18.37,.37,25
