lote_id,lote_bk,factory_id,product_id,time_id,lote_init_date,lote_end_date,quantity_produced,production_order_name,lote_cost,lote_production_time,date_production_order,cantidad
1,LTCMLDMAO01D,1,1,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00035,898.00,45,2024-10-26,
2,LTCMLDLAO01D,1,2,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00036,898.00,73,2024-10-26,
3,LTCMLDMAO01G,1,1,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00037,898.00,68,2024-10-26,
4,LTCMLDLAO01G,1,2,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00038,898.00,66,2024-10-26,
5,LTCMLFMB01D,1,4,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00039,598.00,30,2024-10-26,
6,LTCMLFMB01G,1,4,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00040,598.00,25,2024-10-26,
7,LTCMLFLN01D,1,8,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00041,598.00,18,2024-10-26,
8,LTCMLFLN01G,1,8,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00042,598.00,38,2024-10-26,
9,LTCMLFXLN01D,1,9,20241026,,2024-10-26,50.00,AL-10/MO/00043,598.00,,2024-10-26,
10,LTCMLFXLN01G,1,9,20241026,,2024-10-26,50.00,AL-10/MO/00044,598.00,,2024-10-26,
11,LTCTPCLR01D,1,14,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00045,971.00,61,2024-10-26,
12,LTCTPCXLAZ01D,1,17,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00048,971.00,59,2024-10-26,
13,LTCTPCXLAZ01G,1,17,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00047,971.00,59,2024-10-26,
14,LTCTPCLR01G,1,14,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00046,971.00,88,2024-10-26,
15,LTCMCSF01LAO01D,1,11,20241026,,2024-10-26,200.00,AL-10/MO/00049,2452.00,,2024-10-26,
16,LTCMCSF01LAO01G,1,11,20241026,,2024-10-26,200.00,AL-10/MO/00050,2452.00,,2024-10-26,
17,LTCMCSF01XLAO01D,1,12,20241026,,2024-10-26,200.00,AL-10/MO/00051,2452.00,,2024-10-26,
18,LTCMCSF01XLAO01G,1,12,20241026,2024-10-26,2024-10-26,200.00,AL-10/MO/00052,2452.00,15,2024-10-26,
19,LTCMCSF01XLAO01G2,1,12,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00060,1226.00,66,2024-10-27,
20,LTCMLDMAO01G2,1,1,20241027,2024-10-27,2024-10-27,50.00,AL-10/MO/00058,898.00,39,2024-10-27,
21,LTCTPCLR01G2,1,14,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00059,971.00,57,2024-10-27,
22,LTCTPCXLR01G,1,15,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00061,971.00,50,2024-10-27,
