sales_id,order_id,order_code,store_id,product_id,discount_id,customer_id,time_id,quantity,total_amount,total_discount,total_charged,total_cost,total_profit,payment_method
1,6,2000000006,2,4,0,1,20241026,2.00,57.98,.00,57.98,35.92,22.06,checkmo
2,7,2000000007,2,20,0,0,20241026,1.00,28.99,.00,28.99,17.96,11.03,checkmo
3,8,2000000008,2,14,0,0,20241026,5.00,112.95,.00,112.95,48.55,64.40,checkmo
4,9,2000000009,2,4,0,0,20241026,5.00,144.95,.00,144.95,89.80,55.15,checkmo
5,10,2000000010,2,5,0,0,20241026,2.00,61.00,.00,61.00,23.92,37.08,checkmo
6,11,2000000011,2,14,0,0,20241026,3.00,67.77,.00,67.77,29.13,38.64,checkmo
7,12,2000000012,2,14,0,0,20241026,8.00,180.72,.00,180.72,77.68,103.04,checkmo
8,13,2000000013,2,15,0,0,20241026,2.00,45.18,.00,45.18,24.52,20.66,checkmo
9,14,2000000014,2,15,0,0,20241026,23.00,519.57,.00,519.57,281.98,237.59,checkmo
10,15,2000000015,2,20,0,0,20241026,2.00,57.98,.00,57.98,35.92,22.06,checkmo
11,16,2000000016,2,14,0,0,20241026,1.00,22.59,.00,22.59,9.71,12.88,checkmo
12,17,2000000017,2,5,0,0,20241026,1.00,30.50,.00,30.50,11.96,18.54,checkmo
13,18,2000000018,2,18,0,0,20241026,10.00,225.90,.00,225.90,122.60,103.30,checkmo
14,19,2000000019,2,20,0,0,20241026,1.00,28.99,.00,28.99,17.96,11.03,checkmo
15,20,2000000020,2,18,0,1,20241026,2.00,45.18,.00,45.18,24.52,20.66,checkmo
16,21,2000000021,2,5,0,1,20241026,1.00,30.50,.00,30.50,11.96,18.54,checkmo
17,22,2000000022,2,20,0,1,20241027,3.00,86.97,.00,86.97,53.88,33.09,checkmo
18,23,2000000023,2,18,0,1,20241027,2.00,45.18,.00,45.18,24.52,20.66,checkmo
19,24,2000000024,2,14,0,1,20241027,1.00,22.59,.00,22.59,9.71,12.88,checkmo
20,25,2000000025,2,5,0,1,20241027,2.00,61.00,.00,61.00,23.92,37.08,checkmo
21,26,2000000026,2,20,0,1,20241027,12.00,347.88,.00,347.88,215.52,132.36,checkmo
22,27,2000000027,2,20,0,0,20241027,55.00,1594.45,.00,1594.45,987.80,606.65,checkmo
23,28,2000000028,2,22,0,0,20241027,2.00,45.18,.00,45.18,19.42,25.76,checkmo
24,29,2000000029,2,15,0,0,20241027,2.00,45.18,.00,45.18,24.52,20.66,checkmo
25,30,2000000030,2,5,0,0,20241027,2.00,61.00,.00,61.00,23.92,37.08,checkmo
26,31,2000000031,2,15,0,1,20241027,31.00,700.29,.00,700.29,380.06,320.23,checkmo
27,32,2000000032,2,22,0,1,20241027,2.00,45.18,.00,45.18,19.42,25.76,checkmo
28,33,2000000033,2,5,0,1,20241027,3.00,91.50,.00,91.50,35.88,55.62,checkmo
29,34,2000000034,2,22,0,2,20241028,2.00,45.18,.00,45.18,19.42,25.76,checkmo
