product_id,product_bk,product_name,category,sku,description
91,42,Camisa Manga Larga Denim-Azul Oscuro-M,Camisas Formales,CMLDMAO01,
92,43,Camisa Manga Larga Denim-Azul Oscuro-L,Camisas Formales,CMLDLAO01,
93,44,Camisa Manga Larga Denim,Camisas Formales,CMLD01,
94,45,Camisa Manga Larga Formal-Blanco-M,Camisas Formales,CMLFMB01,
95,46,Camisa Manga Larga Formal-Blanco-L,Camisas Formales,CMLFLB01,
96,47,Camisa Manga Larga Formal-Blanco-XL,Camisas Formales,CMLFXLB01,
97,48,Camisa Manga Larga Formal-Negro-M,Camisas Formales,CMLFMN01,
98,49,Camisa Manga Larga Formal-Negro-L,Camisas Formales,CMLFLN01,
99,50,Camisa Manga Larga Formal-Negro-XL,Camisas Formales,CMLFXLN01,
100,51,Camisa Manga Larga Formal,Camisas Formales,CMLF01,
101,66,Camisa Manga Corta Slim Fit-Azul Oscuro-L,Camisas Basicas,CMCSF01LAO01,
102,67,Camisa Manga Corta Slim Fit-Azul Oscuro-XL,Camisas Basicas,CMCSF01XLAO01,
103,68,Camisa Manga Corta Slim Fit,Camisas Basicas,CMCSF01,
104,61,Camisa Tipo Polo Casual-Rojo-L,Camisa Tipo Polo,CTPCLR01,
105,62,Camisa Tipo Polo Casual-Rojo-XL,Camisa Tipo Polo,CTPCXLR01,
106,63,Camisa Tipo Polo Casual-Azul Marino-L,Camisa Tipo Polo,CTPCLAZ01,
107,64,Camisa Tipo Polo Casual-Azul Marino-XL,Camisa Tipo Polo,CTPCXLAZ01,
108,65,Camisa Tipo Polo Casual,Camisa Tipo Polo,CTPC01,
