product_id,product_bk,lote_id,lote_production_date,lote_quantity,unit_cost,sku,product_name,category,lote_cost,unit_price
1674,188,LTCMLDMAO01D,2024-10-26,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
1675,30,LTCMLFLN01D,2024-10-26,50,11.96,CMLFLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1676,30,LTCMLFLN01G,2024-10-26,50,11.96,CMLFLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1677,46,LTCTPCLR01G,2024-10-26,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1678,33,LTCMLFXLN01D,2024-10-26,50,11.96,CMLFXLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1679,190,LTCMLDLAO01D,2024-10-26,50,17.96,CMLDLAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
1680,188,LTCMLDMAO01G,2024-10-26,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
1681,190,LTCMLDLAO01G,2024-10-26,50,17.96,CMLDLAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
1682,33,LTCMLFXLN01G,2024-10-26,50,11.96,CMLFXLN01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1683,25,LTCMLFMB01D,2024-10-26,50,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1684,25,LTCMLFMB01G,2024-10-26,50,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,598.00,30.50
1685,50,LTCTPCXLAZ01G,2024-10-26,100,9.71,CTPCXLAZ01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1686,46,LTCTPCLR01D,2024-10-26,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1687,147,LTCMCSF01XLAO01G,2024-10-26,200,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
1688,50,LTCTPCXLAZ01D,2024-10-26,100,9.71,CTPCXLAZ01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1689,144,LTCMCSF01LAO01D,2024-10-26,200,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
1690,144,LTCMCSF01LAO01G,2024-10-26,200,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
1691,147,LTCMCSF01XLAO01D,2024-10-26,200,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,2452.00,22.59
1692,188,LTCMLDMAO01G2,2024-10-27,50,17.96,CMLDMAO01,Camisa Manga Larga Denim,Camisas Formales,898.00,28.99
1693,46,LTCTPCLR01G2,2024-10-27,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1694,49,LTCTPCXLR01G,2024-10-27,100,9.71,CTPCXLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1695,147,LTCMCSF01XLAO01G2,2024-10-27,100,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,1226.00,22.59
1696,25,LTCMLFMB01D2,2024-10-30,100,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,1196.00,30.50
1697,25,LTCMLFMB01G2,2024-10-30,100,11.96,CMLFMB01,Camisa Manga Larga Formal,Camisas Formales,1196.00,30.50
1698,144,LTCMCSF01LAO01D2,2024-10-30,100,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,1226.00,22.59
1699,144,LTCMCSF01LAO01G2,2024-10-30,100,12.26,CMCSF01LAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,1226.00,22.59
1700,46,LTCTPCLR01D2,2024-10-31,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1701,46,LTCTPCLR01G22,2024-10-31,100,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1702,49,LTCTPCXLR01G2,2024-10-31,100,9.71,CTPCXLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,971.00,22.59
1703,46,LTCTPCLR01D3,2024-11-05,350,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,3398.50,22.59
1704,46,LTCTPCLR01G3,2024-11-05,350,9.71,CTPCLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,3398.50,22.59
1705,49,LTCTPCXLR01G3,2024-11-05,350,9.71,CTPCXLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,3398.50,22.59
1706,147,LTCMCSF01XLAO01D2,2024-11-03,500,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,6130.00,22.59
1707,49,LTCTPCLR01D,2024-11-05,600,9.71,CTPCXLR01,Camisa Tipo Polo Casual,Camisa Tipo Polo,5826.00,22.59
1708,147,LTCMCSF01XLAO01G3,2024-11-03,500,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,6130.00,22.59
1709,147,LTCMCSF01XLAO01D3,2024-11-03,700,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,8582.00,22.59
1710,147,LTCMCSF01XLAO01G4,2024-11-03,700,12.26,CMCSF01XLAO01,Camisa Manga Corta Slim Fit,Camisas Basicas,8582.00,22.59
