lote_id,lote_bk,factory_id,product_id,time_id,lote_init_date,lote_end_date,quantity_produced,production_order_name,lote_cost,lote_production_time,date_production_order,cantidad,updated_at
34,LTCMLDLAO01D,11,92,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00036,898.00,73,2024-10-26,21,2024-10-30 23:57:53.003000000
35,LTCMLFMB01D,11,94,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00039,598.00,30,2024-10-26,19,2024-10-30 23:57:53.003000000
36,LTCTPCLR01D,11,104,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00045,971.00,61,2024-10-26,44,2024-10-30 23:57:53.003000000
37,LTCMCSF01XLAO01G,11,102,20241026,2024-10-26,2024-10-26,200.00,AL-10/MO/00052,2452.00,15,2024-10-26,96,2024-10-30 23:57:53.003000000
38,LTCMLDMAO01G2,11,91,20241027,2024-10-27,2024-10-27,50.00,AL-10/MO/00058,898.00,39,2024-10-27,84,2024-10-30 23:57:53.003000000
39,LTCTPCXLR01G,11,105,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00061,971.00,50,2024-10-27,11,2024-10-30 23:57:53.003000000
40,LTCMLDMAO01D,11,91,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00035,898.00,45,2024-10-26,0,2024-10-30 23:57:53.030000000
41,LTCMLDMAO01G,11,91,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00037,898.00,68,2024-10-26,0,2024-10-30 23:57:53.030000000
42,LTCMLDLAO01G,11,92,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00038,898.00,66,2024-10-26,0,2024-10-30 23:57:53.030000000
43,LTCMLFMB01G,11,94,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00040,598.00,25,2024-10-26,0,2024-10-30 23:57:53.030000000
44,LTCMLFLN01D,11,98,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00041,598.00,18,2024-10-26,0,2024-10-30 23:57:53.030000000
45,LTCMLFLN01G,11,98,20241026,2024-10-26,2024-10-26,50.00,AL-10/MO/00042,598.00,38,2024-10-26,0,2024-10-30 23:57:53.030000000
46,LTCTPCXLAZ01D,11,107,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00048,971.00,59,2024-10-26,0,2024-10-30 23:57:53.030000000
47,LTCTPCXLAZ01G,11,107,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00047,971.00,59,2024-10-26,0,2024-10-30 23:57:53.030000000
48,LTCTPCLR01G,11,104,20241026,2024-10-26,2024-10-26,100.00,AL-10/MO/00046,971.00,88,2024-10-26,0,2024-10-30 23:57:53.030000000
49,LTCMCSF01XLAO01G2,11,102,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00060,1226.00,66,2024-10-27,0,2024-10-30 23:57:53.030000000
50,LTCTPCLR01G2,11,104,20241027,2024-10-27,2024-10-27,100.00,AL-10/MO/00059,971.00,57,2024-10-27,0,2024-10-30 23:57:53.030000000
51,LTCMLFMB01G2,11,94,20241030,2024-10-30,2024-10-30,100.00,AL-10/MO/00066,1196.00,149,2024-10-30,0,2024-10-30 23:57:53.030000000
